Brand Name,Identifier,Munsell Specification,Total Hue,0.0G 1.85/2.6,Hue Letter(s),ASTM Hue,Value,Chroma,Pigments
Williamsburg Handmade Oil Paints,Persian Rose,3.9R 5.01/14.74,3.9R,3.9,R,3.90,5.01,14.74,[PY154] [PR112] [PV19] [PW6] [PW4]
Winsor & Newton Artists' Oil Colors,Quinacridone Magenta,4.9R 4.18/16.9,4.9R,4.9,R,4.90,4.18,16.9,[PR122]
Gamblin Artist's Oil Colors,Cadmium Red Deep,5.0R 4/12,5.0R,5.0,R,5.00,4,12,[PR108]
Gamblin Artist's Oil Colors,Cadmium Red Medium,5.0R 5/14,5.0R,5.0,R,5.00,5,14,[PR108]
Gamblin Artist's Oil Colors,Indian Red,5.0R 3/6,5.0R,5.0,R,5.00,3,6,[PR101]
Gamblin Artist's Oil Colors,Napthol Red,5.0R 4/16,5.0R,5.0,R,5.00,4,16,[PR112]
Gamblin Artist's Oil Colors,Perylene Red,5.0R 3/14,5.0R,5.0,R,5.00,3,14,[PR149]
Gamblin Artist's Oil Colors,Portland Warm Grey,5.0R 7.5/2,5.0R,5.0,R,5.00,7.5,2,[PBk11] [PR101] [PW6]
Gamblin Artist's Oil Colors,Quinacridone Magenta,5.0R 2/8,5.0R,5.0,R,5.00,2,8,[PR122]
Gamblin Artist's Oil Colors,Radiant Red,5.0R 7/10,5.0R,5.0,R,5.00,7,10,[PR149] [PW6]
Grumbacher Pre-Tested Artists' Oil Colors,Thio Violet,5.0R 1.93/5.8,5.0R,5.0,R,5.00,1.93,5.8,[PR122]
Winsor & Newton Artists' Oil Colors,Permanent Magenta,5.6R 3.22/12.9,5.6R,5.6,R,5.60,3.22,12.9,[PV19]
Grumbacher Pre-Tested Artists' Oil Colors,Quinacridone Red,5.9R 3.18/11.7,5.9R,5.9,R,5.90,3.18,11.7,[PV19]
Schmincke Mussini Oil Colors,Translucent Magenta,6.2R 1.74/9.3,6.2R,6.2,R,6.20,1.74,9.3,[PR122]
Williamsburg Handmade Oil Paints,Quinacridone Magenta,6.3R 1.97/7.67,6.3R,6.3,R,6.30,1.97,7.67,[PR122]
Schmincke Norma Professional Oil Colors,Ruby Red,6.5R 1.6/8.9,6.5R,6.5,R,6.50,1.6,8.9,[PR122]
Grumbacher Pre-Tested Artists' Oil Colors,Thalo Green (Yellow Shade),6.6R 2.66/10,6.6R,6.6,R,6.60,2.66,10,[PG36]
Grumbacher Pre-Tested Artists' Oil Colors,Cadmium Red Deep,6.8R 2.84/11.1,6.8R,6.8,R,6.80,2.84,11.1,[PR108:1]
Grumbacher Pre-Tested Artists' Oil Colors,Cadmium Red,7.1R 4.01/14.8,7.1R,7.1,R,7.10,4.01,14.8,[PR108:1]
Grumbacher Pre-Tested Artists' Oil Colors,Cadmium Red Medium,7.1R 3.36/13.1,7.1R,7.1,R,7.10,3.36,13.1,[PR108:1]
Williamsburg Handmade Oil Paints,Cadmium Red Deep,7.2R 3.08/12.92,7.2R,7.2,R,7.20,3.08,12.92,[PR108]
Williamsburg Handmade Oil Paints,Quinacridone Violet,7.2R 1.54/8.14,7.2R,7.2,R,7.20,1.54,8.14,[PV19]
Williamsburg Handmade Oil Paints,Quinacridone Red,7.4R 3.2/12.75,7.4R,7.4,R,7.40,3.2,12.75,[PV19]
