Brand Name,Identifier,X,Y,Z,x,y,L*,a*,b*,C*,h
Rembrandt,"100,5",77.3596,79.1237,86.7359,0.3181,0.3253,91.2903,-0.4793,4.6049,4.6298,1.6745
Rembrandt,"101,5",76.9993,78.8882,87.2995,0.3166,0.3244,91.1837,-0.7384,4.0313,4.0983,1.7520
Rembrandt,"201,3",27.1741,30.6620,12.2553,0.3877,0.4375,62.2213,-11.1972,40.9151,42.4196,1.8379
Rembrandt,"201,5",60.2701,64.9277,13.6609,0.4340,0.4676,84.4465,-7.8653,75.7719,76.1790,1.6742
Rembrandt,"201,7",61.0820,67.0669,23.6542,0.4024,0.4418,85.5377,-10.6686,58.0915,59.0630,1.7524
Rembrandt,"201,8",62.8034,68.3453,35.9545,0.3758,0.4090,86.1788,-9.4581,41.6765,42.7362,1.7940
Rembrandt,"202,3",21.9674,22.9942,7.5525,0.4183,0.4379,55.0664,-2.6682,42.5787,42.6622,1.6334
Rembrandt,"202,5",55.4189,52.7894,9.8524,0.4694,0.4471,77.7505,9.2709,74.2815,74.8579,1.4466
Rembrandt,"202,7",60.1417,62.2645,17.9323,0.4285,0.4437,83.0539,-2.1650,64.1238,64.1604,1.6045
Rembrandt,"202,9",68.5657,70.8340,55.6481,0.3515,0.3632,87.4043,-1.9435,22.7101,22.7931,1.6562
Rembrandt,"202,12",72.1902,74.1212,75.3556,0.3257,0.3344,88.9797,-1.0485,8.8828,8.9445,1.6883
Rembrandt,"205,3",32.8915,37.4968,11.8502,0.4000,0.4560,67.6481,-13.1663,51.3184,52.9805,1.8219
Rembrandt,"205,5",58.9984,67.7374,15.9988,0.4133,0.4746,85.8750,-17.0337,72.9678,74.9296,1.8001
Rembrandt,"205,8",60.4312,67.4947,32.0846,0.3777,0.4218,85.7532,-13.1193,45.9523,47.7883,1.8489
Rembrandt,"205,9",70.3279,76.7199,51.5151,0.3542,0.3864,90.1925,-10.1920,31.4683,33.0777,1.8840
Rembrandt,"205,12",76.0388,78.3764,82.4551,0.3210,0.3309,90.9514,-1.6631,7.0383,7.2322,1.8028
Rembrandt,"227,2",15.5354,16.3737,12.0828,0.3531,0.3722,47.4611,-3.0030,15.9093,16.1902,1.7574
Rembrandt,"227,3",26.0316,26.2350,13.7836,0.3941,0.3972,58.2595,1.2457,30.3310,30.3565,1.5297
Rembrandt,"227,5",46.9453,45.4487,17.2597,0.4281,0.4145,73.1864,6.7001,48.4613,48.9223,1.4334
Rembrandt,"227,7",60.0774,60.4996,38.1736,0.3784,0.3811,82.1090,1.7565,31.9477,31.9959,1.5159
Rembrandt,"227,9",67.6341,69.5545,60.8501,0.3415,0.3512,86.7779,-1.2623,16.9260,16.9730,1.6452
Rembrandt,"227,10",72.0060,73.9919,68.5806,0.3356,0.3448,88.9187,-1.1694,14.0984,14.1468,1.6536
Rembrandt,"231,3",26.0003,24.0689,13.8351,0.4069,0.3766,56.1568,10.1805,26.5843,28.4669,1.2051
Rembrandt,"231,5",36.7667,32.0945,12.8734,0.4498,0.3927,63.4209,18.1936,41.4298,45.2486,1.1570
Rembrandt,"231,7",47.7095,42.6757,20.0201,0.4321,0.3865,71.3343,16.7942,39.9293,43.3174,1.1727
Rembrandt,"231,8",54.5874,50.8688,30.5805,0.4013,0.3739,76.5995,12.1544,32.2258,34.4417,1.2101
Rembrandt,"231,9",61.3287,60.5968,47.4466,0.3621,0.3578,82.1615,4.4581,21.7233,22.1760,1.3684
Rembrandt,"231,10",68.9116,69.1631,61.7424,0.3449,0.3461,86.5848,2.3342,15.8134,15.9848,1.4242
Rembrandt,"234,2",12.1114,12.3305,9.1665,0.3604,0.3669,41.7367,0.1250,14.2648,14.2653,1.5620
Rembrandt,"234,3",21.2996,20.7282,10.8117,0.4031,0.3923,52.6507,4.6352,28.2582,28.6359,1.4082
Rembrandt,"234,5",40.4398,37.9091,15.0519,0.4330,0.4059,67.9535,10.2834,44.1359,45.3180,1.3419
Rembrandt,"234,7",44.2446,42.4859,20.6696,0.4120,0.3956,71.2046,7.5935,38.5218,39.2631,1.3762
Rembrandt,"234,8",49.6400,48.9579,27.6521,0.3932,0.3878,75.4252,4.3951,34.4059,34.6855,1.4437
Rembrandt,"234,9",55.8906,56.0064,38.7889,0.3709,0.3717,79.6175,2.3929,26.9186,27.0248,1.4821
Rembrandt,"234,10",58.4537,58.3493,46.9778,0.3569,0.3563,80.9326,2.9665,20.0920,20.3098,1.4242
Rembrandt,"235,2",5.9953,5.5015,3.9714,0.3876,0.3557,28.1183,6.7995,11.5352,13.3901,1.0382
Rembrandt,"235,3",13.8690,11.6022,6.5228,0.4335,0.3626,40.5768,16.6293,21.4091,27.1088,0.9104
Rembrandt,"235,5",39.2824,27.9477,8.0167,0.5220,0.3714,59.8414,41.6645,49.2062,64.4762,0.8682
Rembrandt,"235,8",54.9140,48.4986,22.6414,0.4356,0.3847,75.1383,19.2709,41.8554,46.0786,1.1393
Rembrandt,"235,9",53.0617,45.0965,27.4047,0.4226,0.3592,72.9554,23.9932,30.5164,38.8191,0.9045
Rembrandt,"236,3",27.7004,24.2892,6.0668,0.4771,0.4184,56.3762,16.0883,50.4668,52.9692,1.2622
Rembrandt,"236,5",46.8857,37.9659,6.8406,0.5113,0.4141,67.9955,28.9093,67.4659,73.3988,1.1660
Rembrandt,"236,7",50.3360,43.0911,10.1392,0.4860,0.4161,71.6168,22.6642,62.8667,66.8273,1.2248
Rembrandt,"236,8",56.4703,50.6061,24.2209,0.4301,0.3854,76.4398,17.5180,41.4787,45.0263,1.1712
Rembrandt,"236,9",65.4335,64.1178,44.2668,0.3764,0.3689,84.0271,5.7507,28.3117,28.8899,1.3704
Rembrandt,"318,3",14.4254,10.7964,6.0485,0.4613,0.3453,39.2354,25.8489,20.9885,33.2969,0.6820
Rembrandt,"318,5",27.5432,16.8958,9.6605,0.5091,0.3123,48.1285,51.0169,23.7799,56.2868,0.4362
Rembrandt,"318,7",38.0371,25.3587,19.2611,0.4602,0.3068,57.4233,48.1508,17.3610,51.1850,0.3460
Rembrandt,"318,8",49.7627,40.6686,38.5964,0.3857,0.3152,69.9431,28.3525,10.4673,30.2230,0.3537
Rembrandt,"318,9",55.8813,47.3538,46.1284,0.3741,0.3170,74.4155,24.7921,9.7471,26.6394,0.3746
Rembrandt,"331,3",13.8497,10.3974,8.8105,0.4190,0.3145,38.5464,25.2599,9.8830,27.1244,0.3729
Rembrandt,"331,5",17.7871,10.2879,5.2036,0.5345,0.3091,38.3543,48.7357,23.1009,53.9335,0.4426
Rembrandt,"331,7",31.9751,21.8745,19.5611,0.4356,0.2980,53.8936,42.8633,10.7111,44.1814,0.2449
Rembrandt,"331,8",49.2113,38.3077,39.4862,0.3875,0.3016,68.2468,34.1860,6.4923,34.7971,0.1877
Rembrandt,"331,9",68.6231,65.8236,74.2135,0.3289,0.3155,84.9064,8.9474,2.7336,9.3557,0.2965
Rembrandt,"339,3",14.8191,13.6980,11.6000,0.3694,0.3415,43.7967,8.5678,10.8540,13.8281,0.9026
Rembrandt,"339,5",38.8086,32.7214,20.5673,0.4214,0.3553,63.9347,22.5334,26.1722,34.5360,0.8600
Rembrandt,"339,7",51.1300,46.9615,37.0937,0.3782,0.3474,74.1651,13.7737,19.5575,23.9210,0.9572
Rembrandt,"339,8",55.7028,52.5594,49.8083,0.3524,0.3325,77.6142,10.5631,11.4748,15.5965,0.8267
Rembrandt,"339,9",62.3985,61.0451,61.9660,0.3365,0.3292,82.4030,5.8891,8.4093,10.2663,0.9599
Rembrandt,"339,10",67.3349,66.8908,70.9547,0.3282,0.3260,85.4488,3.8143,6.2129,7.2904,1.0202
Rembrandt,"343,3",12.9559,9.6976,6.0566,0.4513,0.3378,37.2942,24.9311,17.6086,30.5225,0.6149
Rembrandt,"343,5",14.6903,10.6445,6.1163,0.4671,0.3384,38.9751,28.5770,20.2633,35.0321,0.6168
Rembrandt,"343,7",23.3051,18.4778,13.8156,0.4192,0.3323,50.0706,24.9081,16.1368,29.6784,0.5749
Rembrandt,"343,8",48.3511,43.2600,39.8833,0.3677,0.3290,71.7311,16.8388,12.0361,20.6981,0.6206
Rembrandt,"343,9",48.2835,43.2510,39.4835,0.3685,0.3301,71.7250,16.6810,12.4924,20.8403,0.6428
Rembrandt,"347,2",5.0502,4.4583,4.3644,0.3640,0.3214,25.1321,8.7233,4.3246,9.7365,0.4602
Rembrandt,"347,3",7.7178,6.1333,5.8270,0.3922,0.3117,29.7462,17.0816,5.5453,17.9591,0.3139
Rembrandt,"347,5",13.9464,9.9891,11.8311,0.3899,0.2793,37.8229,28.9831,-0.0544,28.9832,6.2813
Rembrandt,"347,7",28.5550,24.2594,24.1370,0.3711,0.3153,56.3466,19.5552,6.9715,20.7608,0.3425
Rembrandt,"347,9",54.2488,51.8721,57.3731,0.3318,0.3173,77.2043,8.6953,3.5326,9.3855,0.3859
Rembrandt,"370,3",14.9806,11.7094,6.6551,0.4493,0.3512,40.7505,22.6619,21.1972,31.0304,0.7520
Rembrandt,"370,5",32.1077,20.9830,7.1906,0.5326,0.3481,52.9309,47.4880,40.1949,62.2153,0.7024
Rembrandt,"370,7",36.9956,25.5679,9.0800,0.5164,0.3569,57.6246,43.9243,41.9269,60.7224,0.7621
Rembrandt,"370,9",64.6029,58.9901,50.2688,0.3716,0.3393,81.2861,15.7086,17.3452,23.4012,0.8349
Rembrandt,"371,3",11.3703,7.9299,5.6418,0.4559,0.3179,33.8364,28.9923,13.3828,31.9320,0.4325
Rembrandt,"371,5",20.2788,11.4147,4.4779,0.5606,0.3156,40.2704,53.1191,29.8527,60.9330,0.5120
Rembrandt,"371,7",32.2451,21.0433,16.1532,0.4643,0.3030,52.9968,47.6948,15.9519,50.2918,0.3228
Rembrandt,"371,8",52.9801,44.4307,45.1138,0.3717,0.3117,72.5154,25.6810,7.5505,26.7679,0.2860
Rembrandt,"371,9",61.9097,57.7076,62.8373,0.3393,0.3163,80.5759,12.6383,4.5069,13.4179,0.3425
