Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma,Temp,Family,HueScale,HueColor
Gamblin Artist's Oil Colors,Alizarin Crimson,10RP 6/2,10RP,10,RP,100,6,2,Cool,Red,10,RP
Gamblin Artist's Oil Colors,Alizarin Permanent,10RP 6/2,10RP,10,RP,100,6,2,Cool,Red,10,RP
Gamblin Artist's Oil Colors,Asphaltum,5YR 2/1.5,5YR,5,YR,15,2,1.5,Warm,Brown,5,YR
Gamblin Artist's Oil Colors,Brown Pink,10R 4/2,10R,10,R,10,4,2,Warm,Brown,10,R
Gamblin Artist's Oil Colors,Burnt Sienna,10R 4/3,10R,10,R,10,4,3,Warm,Brown,10,R
Gamblin Artist's Oil Colors,Burnt Umber,5YR 2/2,5YR,5,YR,15,2,2,Warm,Brown,5,YR
Gamblin Artist's Oil Colors,Cadmium Chartreuse,10Y 14/8,10Y,10,Y,30,14,8,Cool,Yellow,10,Y
Gamblin Artist's Oil Colors,Cadmium Green,5GY 12/7,5GY,5,GY,35,12,7,Warm,Green,5,GY
Gamblin Artist's Oil Colors,Cadmium Lemon,10Y 10/8.5,10Y,10,Y,30,10,8.5,Cool,Yellow,10,Y
Gamblin Artist's Oil Colors,Cadmium Orange,5YR 16/7,5YR,5,YR,15,16,7,Warm,Orange,5,YR
Gamblin Artist's Oil Colors,Cadmium Orange Deep,10R 14/6,10R,10,R,10,14,6,Warm,Orange,10,R
Gamblin Artist's Oil Colors,Cadmium Red Deep,5R 12/4,5R,5,R,5,12,4,Warm,Red,5,R
Gamblin Artist's Oil Colors,Cadmium Red Light,7.5R 16/5,7.5R,7.5,R,7.5,16,5,Warm,Red,7.5,R
Gamblin Artist's Oil Colors,Cadmium Red Medium,5R 14/5,5R,5,R,5,14,5,Warm,Red,5,R
Gamblin Artist's Oil Colors,Cadmium Yellow Deep,10YR 14/8,10YR,10,YR,20,14,8,Warm,Yellow,10,YR
Gamblin Artist's Oil Colors,Cadmium Yellow Light,7.5Y 10/8.5,7.5Y,7.5,Y,27.5,10,8.5,Cool,Yellow,7.5,Y
Gamblin Artist's Oil Colors,Cadmium Yellow Medium,2.5Y 14/8,2.5Y,2.5,Y,22.5,14,8,Warm,Yellow,2.5,Y
Gamblin Artist's Oil Colors,Cerulean Blue,5PB 12/4,5PB,5,PB,75,12,4,Cool,Blue,5,PB
Gamblin Artist's Oil Colors,Cerulean Blue Hue,5PB 12/4,5PB,5,PB,75,12,4,Cool,Blue,5,PB
Gamblin Artist's Oil Colors,Chromium Oxide Green,2.5G 4/4,2.5G,2.5,G,42.5,4,4,Warm,Green,2.5,G
Gamblin Artist's Oil Colors,Cobalt Blue,6.25PB 12/3,6.25PB,6.25,PB,76.25,12,3,Warm,Blue,6.25,PB
Gamblin Artist's Oil Colors,Cobalt Green,2.5BG 6/3,2.5BG,2.5,BG,52.5,6,3,Cool,Green,2.5,BG
Gamblin Artist's Oil Colors,Cobalt Teal,10BG 10/5,10BG,10,BG,60,10,5,Cool,Blue,10,BG
Gamblin Artist's Oil Colors,Cobalt Violet,7.5P 10/3,7.5P,7.5,P,87.5,10,3,Warm,Violet,7.5,P
Gamblin Artist's Oil Colors,Cool White,10BG 1/9,10BG,10,BG,60,1,9,Cool,White,10,BG
Gamblin Artist's Oil Colors,Dioxazine Purple,2.5P 10/2,2.5P,2.5,P,82.5,10,2,Cool,Violet,2.5,P
Gamblin Artist's Oil Colors,Emerald Green,2.5G 12/5,2.5G,2.5,G,42.5,12,5,Warm,Green,2.5,G
Gamblin Artist's Oil Colors,Gold Ochre,10YR 12/6,10YR,10,YR,20,12,6,Warm,Yellow,10,YR
Gamblin Artist's Oil Colors,Green Gold,10Y 6/4,10Y,10,Y,30,6,4,Warm,Green,10,Y
Gamblin Artist's Oil Colors,Hansa Yellow Deep,8.75YR 14/8,8.75YR,8.75,YR,18.75,14,8,Warm,Yellow,8.75,YR
Gamblin Artist's Oil Colors,Hansa Yellow Light,7.5Y 12/8.5,7.5Y,7.5,Y,27.5,12,8.5,Cool,Yellow,7.5,Y
Gamblin Artist's Oil Colors,Hansa Yellow Medium,3.75Y 14/8.5,3.75Y,3.75,Y,23.75,14,8.5,Warm,Yellow,3.75,Y
Gamblin Artist's Oil Colors,Indanthrone Blue,5PB 4/2,5PB,5,PB,75,4,2,Warm,Blue,5,PB
Gamblin Artist's Oil Colors,India Red,5R 6/3,5R,5,R,5,6,3,Warm,Brown,5,R
Gamblin Artist's Oil Colors,India Yellow,5YR 12/5,5YR,5,YR,15,12,5,Warm,Yellow,5,YR
Gamblin Artist's Oil Colors,Manganese Blue Hue,7.5B 10/4,7.5B,7.5,B,67.5,10,4,Cool,Blue,7.5,B
Gamblin Artist's Oil Colors,Manganese Violet,10P 6/2,10P,10,P,90,6,2,Warm,Violet,10,P
Gamblin Artist's Oil Colors,Naples Orange,5YR 6/7.5,5YR,5,YR,15,6,7.5,Warm,Orange,5,YR
Gamblin Artist's Oil Colors,Naples Yellow,2.5Y 8/8.5,2.5Y,2.5,Y,22.5,8,8.5,Warm,Yellow,2.5,Y
Gamblin Artist's Oil Colors,Napthol Red,5R 16/4,5R,5,R,5,16,4,Warm,Red,5,R
Gamblin Artist's Oil Colors,Napthol Scarlet,7.5R 16/4,7.5R,7.5,R,7.5,16,4,Warm,Red,7.5,R
Gamblin Artist's Oil Colors,Nickel Titanate Yellow,7.5Y 8/8.5,7.5Y,7.5,Y,27.5,8,8.5,Cool,Yellow,7.5,Y
Gamblin Artist's Oil Colors,Olive Green,10Y 4/3,10Y,10,Y,30,4,3,Warm,Green,10,Y
Gamblin Artist's Oil Colors,Permanent Green Light,10GY 12/6,10GY,10,GY,40,12,6,Warm,Green,10,GY
Gamblin Artist's Oil Colors,Permanent Orange,2.5YR 16/6,2.5YR,2.5,YR,12.5,16,6,Warm,Orange,2.5,YR
Gamblin Artist's Oil Colors,Perylene Red,5R 14/3,5R,5,R,5,14,3,Warm,Red,5,R
Gamblin Artist's Oil Colors,Phthalo Blue,5PB 10/2,5PB,5,PB,75,10,2,Warm,Blue,5,PB
Gamblin Artist's Oil Colors,Phthalo Emerald (Y.S.),7.5G 6/2,7.5G,7.5,G,47.5,6,2,Warm,Green,7.5,G
Gamblin Artist's Oil Colors,Phthalo Green,5BG 6/2,5BG,5,BG,55,6,2,Cool,Green,5,BG
Gamblin Artist's Oil Colors,Phthalo Turquoise,10BG 4/2,10BG,10,BG,60,4,2,Cool,Blue,10,BG
Gamblin Artist's Oil Colors,Portland Cool Grey,2.5PB 2/6.5,2.5PB,2.5,PB,72.5,2,6.5,Cool,Blue,2.5,PB
Gamblin Artist's Oil Colors,Portland Warm Grey,5R 2/7.5,5R,5,R,5,2,7.5,Warm,Red,5,R
Gamblin Artist's Oil Colors,Prussian Blue,2.5PB 4/2,2.5PB,2.5,PB,72.5,4,2,Cool,Blue,2.5,PB
Gamblin Artist's Oil Colors,Quinacridone Magenta,5RP 10/3,5RP,5,RP,95,10,3,Cool,Red,5,RP
Gamblin Artist's Oil Colors,Quinacridone Red,7.5RP 12/3.5,7.5RP,7.5,RP,97.5,12,3.5,Cool,Red,7.5,RP
Gamblin Artist's Oil Colors,Quinacridone Violet,2.5RP 8/2,2.5RP,2.5,RP,92.5,8,2,Cool,Violet,2.5,RP
Gamblin Artist's Oil Colors,Radiant Blue,5PB 10/7,5PB,5,PB,75,10,7,Warm,Blue,5,PB
Gamblin Artist's Oil Colors,Radiant Green,5G 10/7,5G,5,G,45,10,7,Warm,Green,5,G
Gamblin Artist's Oil Colors,Radiant Lemon,10Y 10/9,10Y,10,Y,30,10,9,Cool,Yellow,10,Y
Gamblin Artist's Oil Colors,Radiant Magenta,5RP 10/7,5RP,5,RP,95,10,7,Cool,Red,5,RP
Gamblin Artist's Oil Colors,Radiant Red,5R 10/7,5R,5,R,5,10,7,Warm,Red,5,R
Gamblin Artist's Oil Colors,Radiant Turquoise,2.5B 8/7,2.5B,2.5,B,62.5,8,7,Cool,Blue,2.5,B
Gamblin Artist's Oil Colors,Radiant Violet,2.5P 8/7,2.5P,2.5,P,82.5,8,7,Cool,Violet,2.5,P
Gamblin Artist's Oil Colors,Radiant Yellow,2.5Y 14/8.5,2.5Y,2.5,Y,22.5,14,8.5,Warm,Yellow,2.5,Y
Gamblin Artist's Oil Colors,Raw Sienna,5YR 6/5,5YR,5,YR,15,6,5,Warm,Brown,5,YR
Gamblin Artist's Oil Colors,Raw Umber,10YR 2/2,10YR,10,YR,20,2,2,Cool,Brown,10,YR
Gamblin Artist's Oil Colors,Sap Green,5GY 2/2,5GY,5,GY,35,2,2,Warm,Green,5,GY
Gamblin Artist's Oil Colors,Terre Verte,10Y 2/4,10Y,10,Y,30,2,4,Warm,Green,10,Y
Gamblin Artist's Oil Colors,Titanium Buff,2.5Y 3/8,2.5Y,2.5,Y,22.5,3,8,Warm,Yellow,2.5,Y
