Brand Name,Identifier,Munsell Specification,TotalHue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma,Color Name
Golden Acrylic,1005,7.5PB 1.25/3.3,7.5PB,7.5,PB,77.5,1.3,3.3,Anthraquinone Blue
Golden Acrylic,1010,N1,N,NaN,N,NaN,1.0,0.5,Bone Black
Golden Acrylic,1020,3YR 3.25/4,3YR,3,YR,13.0,3.3,4.0,Burnt Sienna
Golden Acrylic,1030,9YR 2.5/1,9YR,9,YR,19.0,2.5,1.0,Burnt Umber
Golden Acrylic,1035,8YR 3/1.6,8YR,8,YR,18.0,3.0,1.6,Burnt Umber Light
Golden Acrylic,1040,N1,N,NaN,N,NaN,1.0,0.3,Carbon Black
Golden Acrylic,1050,1PB 4/7.6,1PB,1,PB,71.0,4.0,7.6,Cerulean Blue
Golden Acrylic,1051,1.2PB 3/7.9,1.2PB,1.2,PB,71.2,3.0,7.9,Cerulean Blue Deep
Golden Acrylic,1060,9GY 4/4.6,9GY,9,GY,39.0,4.0,4.6,Chromium Oxide Green
Golden Acrylic,1070,2YR 6.25/17.5,2YR,2,YR,12.0,6.3,17.5,CP Cadmium Orange
Golden Acrylic,1080,6R 4/14,6R,6,R,6.0,4.0,14.0,CP Cadmium Red Dark
Golden Acrylic,1090,9R 5.25/15.9,9R,9,R,9.0,5.3,15.9,CP Cadmium Red Light
Golden Acrylic,1100,7R 4.25/16,7R,7,R,7.0,4.3,16.0,CP Cadmium Red Medium
Golden Acrylic,1110,9YR 7.75/16.5,9YR,9,YR,19.0,7.8,16.5,CP Cadmium Yellow Dark
Golden Acrylic,1120,8.5Y 8.75/16,8.5Y,8.5,Y,28.5,8.8,16.0,CP Cadmium Yellow Light
Golden Acrylic,1130,3Y 8/16.1,3Y,3,Y,23.0,8.0,16.1,CP Cadmium Yellow Medium
Golden Acrylic,1135,10Y 9/16,10Y,10,Y,30.0,9.0,16.0,CP Cadmium Yellow Primrose
Golden Acrylic,1140,6PB 3/11,6PB,6,PB,76.0,3.0,11.0,Cobalt Blue
Golden Acrylic,1142,10G 3/5.5,10G,10,G,50.0,3.0,5.5,Cobalt Green
Golden Acrylic,1143,1.5G 5.75/8,1.5G,1.5,G,41.5,5.8,8.0,Cobalt Titanate Green
Golden Acrylic,1144,10BG 3.75/7.8,10BG,10,BG,60.0,3.8,7.8,Cobalt Turquois
Golden Acrylic,1145,9BG 5.5/8,9BG,9,BG,59.0,5.5,8.0,Cobalt Teal
Golden Acrylic,1147,8YR 7/15.8,8YR,8,YR,18.0,7.0,15.8,Diarylide Yellow
Golden Acrylic,1150,2.5P 1/0.5,2.5P,2.5,P,82.5,1.0,0.5,Dioxazine Purple
Golden Acrylic,1160,N3,N,NaN,N,NaN,3.0,0.7,Graphite Gray
Golden Acrylic,1170,2GY 4.25/7.3,2GY,2,GY,32.0,4.3,7.3,Green Gold
Golden Acrylic,1180,10Y 8.25/13.8,10Y,10,Y,30.0,8.3,13.8,Hansa Yellow Light
Golden Acrylic,1190,2Y 7.75/16.8,2Y,2,Y,22.0,7.8,16.8,Hansa Yellow Medium
Golden Acrylic,1191,5Y 8/16,5Y,5,Y,25.0,8.0,16.0,Hansa Yellow Opaque
Golden Acrylic,1195,8GY 1.5/2.4,8GY,8,GY,38.0,1.5,2.4,Jenkins Green
Golden Acrylic,1200,N1,N,NaN,N,NaN,1.0,0.7,Mars Black
Golden Acrylic,1202,3.5YR 4.5/7.7,3.5YR,3.5,YR,13.5,4.5,7.7,Mars Yellow
Golden Acrylic,1210,7R 4.25/17,7R,7,R,7.0,4.3,17.0,Naphthol Red Light
Golden Acrylic,1220,5.1R 3.6/9.9,5.1R,5.1,R,5.1,3.6,9.9,Naphthol Red Medium
Golden Acrylic,1225,3.5Y 4.75/9,3.5Y,3.5,Y,23.5,4.8,9.0,Nickel Azo Yellow
Golden Acrylic,1230,9YR 5.25/7.7,9YR,9,YR,19.0,5.3,7.7,Orange Oxide
Golden Acrylic,1240,4PB 1.75/0.6,4PB,4,PB,74.0,1.8,0.6,Paynes Gray
Golden Acrylic,1250,4G 3.75/12,4G,4,G,44.0,3.8,12.0,Permanent Green Light
Golden Acrylic,1253,3RP 1.5/3,3RP,3,RP,93.0,1.5,3.0,Permanent Violet Dark
Golden Acrylic,1255,7PB 1.25/6.5,7PB,7,PB,77.0,1.3,6.5,Phthalo Blue GS
Golden Acrylic,1260,7.5PB 1.25/6,7.5PB,7.5,PB,77.5,1.3,6.0,Phthalo Blue RS
Golden Acrylic,1270,5BG 1.25/5,5BG,5,BG,55.0,1.3,5.0,Phthalo Green BS
Golden Acrylic,1275,5G 1.75/5.4,5G,5,G,45.0,1.8,5.4,Phthalo Green YS
Golden Acrylic,1276,9R 5/18,9R,9,R,9.0,5.0,18.0,Pyrrole Orange
Golden Acrylic,1277,6.5R 4.25/17,6.5R,6.5,R,6.5,4.3,17.0,Pyrrole Red
Golden Acrylic,1279,8R 4.25/17,8R,8,R,8.0,4.3,17.0,Pyrrole Red Light
Golden Acrylic,1280,10R 2/6,10R,10,R,10.0,2.0,6.0,Quinacridone Burnt Orange
Golden Acrylic,1290,2.5R 2/6,2.5R,2.5,R,2.5,2.0,6.0,Quinacridone Crimson
Golden Acrylic,1300,6YR 2.5/5.5,6YR,6,YR,16.0,2.5,5.5,Quinacridone Gold
