Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma
Girault,526,N0.99,N,NaN,N,NaN,0.99,0.00
Sennelier,821,N5.42,N,NaN,N,NaN,5.42,0.00
Blue Earth,B6D,N7.33,N,NaN,N,NaN,7.33,0.00
Great American,347.0,1.90Y 7.30/0.07,1.90Y,1.90,Y,21.90,7.30,0.07
Blue Earth,NB6,9.44YR 7.49/0.07,9.44YR,9.44,YR,19.44,7.49,0.07
Girault,513,2.69Y 1.31/0.09,2.69Y,2.69,Y,22.69,1.31,0.09
Sennelier,521,3.04B 7.19/0.09,3.04B,3.04,B,63.04,7.19,0.09
Blue Earth,NB5,6.74R 6.56/0.10,6.74R,6.74,R,6.74,6.56,0.10
Blue Earth,B7D,1.55GY 8.20/0.10,1.55GY,1.55,GY,31.55,8.20,0.10
Blue Earth,NB7,3.74Y 8.21/0.10,3.74Y,3.74,Y,23.74,8.21,0.10
Blue Earth,NB4,0.55YR 5.62/0.11,0.55YR,0.55,YR,10.55,5.62,0.11
Great American,200.0,6.28P 1.78/0.14,6.28P,6.28,P,86.28,1.78,0.14
Blue Earth,NB3,6.93RP 4.63/0.14,6.93RP,6.93,RP,96.93,4.63,0.14
Unison,Grey17,0.69Y 7.83/0.14,0.69Y,0.69,Y,20.69,7.83,0.14
Schmincke,097,9.60GY 1.91/0.15,9.60GY,9.60,GY,39.60,1.91,0.15
Rembrandt,"707,10",4.05Y 7.75/0.15,4.05Y,4.05,Y,24.05,7.75,0.15
Rembrandt,"727,10",4.83G 7.93/0.15,4.83G,4.83,G,44.83,7.93,0.15
Unison,Grey18,4.03Y 8.49/0.15,4.03Y,4.03,Y,24.03,8.49,0.15
Great American,947,1.98BG 8.10/0.18,1.98BG,1.98,BG,51.98,8.10,0.18
Sennelier,423,4.17B 5.40/0.19,4.17B,4.17,B,64.17,5.40,0.19
Sennelier,513,3.91Y 1.36/0.20,3.91Y,3.91,Y,23.91,1.36,0.20
Blue Earth,NB2,8.14P 3.74/0.21,8.14P,8.14,P,88.14,3.74,0.21
Great American,850.5,1.22BG 6.73/0.21,1.22BG,1.22,BG,51.22,6.73,0.21
Great American,920.6,2.09P 8.65/0.22,2.09P,2.09,P,82.09,8.65,0.22
Sennelier,178,3.29GY 1.87/0.23,3.29GY,3.29,GY,33.29,1.87,0.23
Great American,220.0,9.14PB 2.81/0.23,9.14PB,9.14,PB,79.14,2.81,0.23
Mount Vision,461,2.13Y 2.19/0.24,2.13Y,2.13,Y,22.13,2.19,0.24
Sennelier,515,7.57PB 2.39/0.24,7.57PB,7.57,PB,77.57,2.39,0.24
Sennelier,421,9.65B 3.51/0.24,9.65B,9.65,B,69.65,3.51,0.24
Great American,850.2,9.98GY 3.86/0.24,9.98GY,9.98,GY,39.98,3.86,0.24
Great American,850.4,8.35G 5.88/0.24,8.35G,8.35,G,48.35,5.88,0.24
Blue Earth,B5D,7.92B 6.49/0.24,7.92B,7.92,B,67.92,6.49,0.24
Sennelier,520,0.18PB 6.93/0.24,0.18PB,0.18,PB,70.18,6.93,0.24
Sennelier,514,7.95PB 2.37/0.25,7.95PB,7.95,PB,77.95,2.37,0.25
Great American,850.3,4.39G 4.94/0.25,4.39G,4.39,G,44.39,4.94,0.25
Sennelier,526,6.33PB 2.15/0.26,6.33PB,6.33,PB,76.33,2.15,0.26
Blue Earth,B4D,6.79B 5.59/0.26,6.79B,6.79,B,66.79,5.59,0.26
Rembrandt,"704,3",4.07Y 2.69/0.27,4.07Y,4.07,Y,24.07,2.69,0.27
Sennelier,140,2.91G 8.81/0.27,2.91G,2.91,G,42.91,8.81,0.27
Sennelier,425,2.28GY 8.34/0.28,2.28GY,2.28,GY,32.28,8.34,0.28
Sennelier,491,4.86Y 2.31/0.29,4.86Y,4.86,Y,24.86,2.31,0.29
Rembrandt,"704,9",4.79Y 7.69/0.30,4.79Y,4.79,Y,24.79,7.69,0.30
Sennelier,525,7.37Y 9.08/0.30,7.37Y,7.37,Y,27.37,9.08,0.30
Unison,Grey36,8.46B 2.10/0.31,8.46B,8.46,B,68.46,2.10,0.31
Schmincke,001,0.65GY 9.49/0.33,0.65GY,0.65,GY,30.65,9.49,0.33
Girault,177,5.92GY 1.87/0.34,5.92GY,5.92,GY,35.92,1.87,0.34
Mount Vision,264,7.41Y 8.84/0.34,7.41Y,7.41,Y,27.41,8.84,0.34
Sennelier,516,4.81PB 3.44/0.35,4.81PB,4.81,PB,74.81,3.44,0.35
Blue Earth,N6,9.47YR 8.04/0.35,9.47YR,9.47,YR,19.47,8.04,0.35
Mount Vision,453,5.31Y 4.32/0.36,5.31Y,5.31,Y,25.31,4.32,0.36
Sennelier,517,4.07PB 4.14/0.37,4.07PB,4.07,PB,74.07,4.14,0.37
Rembrandt,"707,9",6.46PB 7.22/0.37,6.46PB,6.46,PB,76.46,7.22,0.37
Mount Vision,458,3.97Y 7.89/0.38,3.97Y,3.97,Y,23.97,7.89,0.38
