file order,h,V,C,x,y,Y,X_C,Y_C,Z_C,L*,a*,b*
1,10RP,1,2,0.3629,0.271,1.21,0.0162,0.0121,0.0163,10.63,12.59,-2.07
2,10RP,1,4,0.392,0.2423,1.21,0.0196,0.0121,0.0183,10.63,20.94,-3.96
3,10RP,1,6,0.4151,0.2169,1.21,0.0232,0.0121,0.0205,10.63,28.79,-5.88
7,2.5R,1,2,0.3768,0.2816,1.21,0.0162,0.0121,0.0147,10.63,12.59,-0.44
8,2.5R,1,4,0.4166,0.2569,1.21,0.0196,0.0121,0.0154,10.63,20.94,-1.17
9,2.5R,1,6,0.4515,0.2329,1.21,0.0235,0.0121,0.0164,10.63,29.41,-2.17
12,5R,1,2,0.3908,0.2929,1.21,0.0161,0.0121,0.0131,10.63,12.33,1.30
13,5R,1,4,0.442,0.2728,1.21,0.0196,0.0121,0.0127,10.63,20.94,1.76
17,7.5R,1,2,0.402,0.3034,1.21,0.016,0.0121,0.0117,10.63,12.07,2.95
18,7.5R,1,4,0.466,0.2888,1.21,0.0195,0.0121,0.0103,10.63,20.71,4.74
22,10R,1,2,0.4128,0.3154,1.21,0.0158,0.0121,0.0104,10.63,11.54,4.61
23,10R,1,4,0.4933,0.3068,1.21,0.0195,0.0121,0.0079,10.63,20.71,7.90
27,2.5YR,1,2,0.4258,0.3344,1.21,0.0154,0.0121,0.0087,10.63,10.46,6.85
28,2.5YR,1,4,0.5311,0.3371,1.21,0.0191,0.0121,0.0047,10.63,19.78,12.13
29,2.5YR,1,6,0.6048,0.327,1.21,0.0224,0.0121,0.0025,10.63,27.12,15.03
31,5YR,1,2,0.4377,0.358,1.21,0.0148,0.0121,0.0069,10.63,8.81,9.22
33,7.5YR,1,2,0.443,0.3775,1.21,0.0142,0.0121,0.0058,10.63,7.12,10.68
34,10YR,1,2,0.4446,0.3982,1.21,0.0135,0.0121,0.0048,10.63,5.08,12.00
35,2.5Y,1,2,0.4362,0.4177,1.21,0.0126,0.0121,0.0042,10.63,2.36,12.79
36,5Y,1,2,0.423,0.4265,1.21,0.012,0.0121,0.0043,10.63,0.47,12.66
37,7.5Y,1,2,0.4042,0.4287,1.21,0.0114,0.0121,0.0047,10.63,-1.49,12.13
38,10Y,1,2,0.3802,0.4212,1.21,0.0109,0.0121,0.0057,10.63,-3.17,10.81
39,2.5GY,1,2,0.354,0.4088,1.21,0.0105,0.0121,0.007,10.63,-4.55,9.09
40,5GY,1,2,0.3359,0.3982,1.21,0.0102,0.0121,0.0081,10.63,-5.61,7.64
42,7.5GY,1,2,0.3154,0.384,1.21,0.0099,0.0121,0.0095,10.63,-6.69,5.79
43,7.5GY,1,4,0.3133,0.538,1.21,0.007,0.0121,0.0033,10.63,-18.00,13.97
44,10GY,1,2,0.3006,0.372,1.21,0.0098,0.0121,0.0106,10.63,-7.06,4.34
47,2.5G,1,2,0.291,0.3634,1.21,0.0097,0.0121,0.0115,10.63,-7.43,3.20
51,5G,1,2,0.2833,0.3564,1.21,0.0096,0.0121,0.0122,10.63,-7.80,2.35
55,7.5G,1,2,0.2758,0.3484,1.21,0.0096,0.0121,0.0131,10.63,-7.80,1.30
59,10G,1,2,0.2689,0.3407,1.21,0.0096,0.0121,0.0139,10.63,-7.80,0.41
63,2.5BG,1,2,0.26,0.3289,1.21,0.0096,0.0121,0.0151,10.63,-7.80,-0.86
67,5BG,1,2,0.25,0.3141,1.21,0.0096,0.0121,0.0168,10.63,-7.80,-2.55
70,7.5BG,1,2,0.243,0.3023,1.21,0.0097,0.0121,0.0182,10.63,-7.43,-3.87
73,10BG,1,2,0.2362,0.2882,1.21,0.0099,0.0121,0.02,10.63,-6.69,-5.46
76,2.5B,1,2,0.2322,0.2781,1.21,0.0101,0.0121,0.0213,10.63,-5.97,-6.55
79,5B,1,2,0.2291,0.2677,1.21,0.0104,0.0121,0.0227,10.63,-4.90,-7.67
82,7.5B,1,2,0.2291,0.2579,1.21,0.0107,0.0121,0.0241,10.63,-3.86,-8.75
